Bed,X,Y,Z,Zone
1,4,0.5,0,1
2,4,0.5,1,1
3,7.5,1.5,0,1
4,7.5,1.5,1,1
5,5,2.5,0,1
6,5,2.5,1,1
7,2.5,2.5,0,1
8,2.5,2.5,1,1
9,0.5,1.5,0,1
10,0.5,1.5,1,1
11,1,3.5,0,2
12,1,3.5,1,2
13,1,5.5,0,2
14,1,5.5,1,2
16,1,7.5,0,2
15,1,7.5,1,2
17,1,9.5,0,2
18,1,9.5,1,2
19,3,10,0,2
20,3,10,1,2
21,4.5,10,0,2
22,4.5,10,1,2
23,3.5,6,0,2
24,3.5,6,1,2
25,3,4,0,2
26,3,4,1,2
27,4.5,4,0,2
28,4.5,4,1,2
29,6,4,0,2
30,6,4,1,2
31,6,6.5,0,2
32,6,6.5,1,2
33,6,10,0,2
34,6,10,1,2
35,7.5,10,0,2
36,7.5,10,1,2
37,9,10,0,2
38,9,10,1,2
39,10.5,10,0,2
40,10.5,10,1,2
41,12,10,0,2
42,12,10,1,2
43,13.5,10,0,2
44,13.5,10,1,2
45,15,10,0,2
46,15,10,1,2
47,16.5,10,0,2
48,16.5,10,1,2
49,18,10,0,2
50,18,10,1,2
51,7.5,4,0,2
52,7.5,4,1,2
53,8.5,5,0,2
54,8.5,5,1,2
55,10,5,0,2
56,10,5,1,2
57,11.5,5,0,2
58,11.5,5,1,2
59,13.5,5,0,2
60,13.5,5,1,2
61,14.5,4,0,2
62,14.5,4,1,2
63,16,4,0,2
64,16,4,1,2
65,18,3.5,0,2
66,18,3.5,1,2
67,18,5,0,2
68,18,5,1,2
69,18,6.5,0,2
70,18,6.5,1,2
71,18,8,0,2
72,18,8,1,2
73,15.5,8,0,2
74,15.5,8,1,2
